bp_arch;bp_compiler;bp_opt;branch_id_str;branch_prefix;component;jobs;lag_max_rss_g1_w1;lag_max_rss_global_w5;localJobs;location;makeType;memreq_gb;target_cnt;target_has_dist;ts_dayofyear;ts_dow;ts_hour;ts_month;ts_weekofyear;ts_year;time;max_rss_gb_true;max_rss_class_true
linuxx86_64;gcc;optimized;139;branch;component_0;500;49667375104.0;59100028928.0;36;location_0;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:20.926;61.92080307006836;1
linuxx86_64;gcc;optimized;100;branch;component_0;500;66486956032.0;64448795443.2;36;location_0;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:21.015;76.75544357299805;1
linuxx86_64;gcc;optimized;138;branch;component_0;500;82415529984.0;71884203622.4;36;location_0;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:26.333;81.01554107666016;1
linuxaarch64;gcc;debug;1;branch;component_0;500;111675232256.0;73967796224.0;36;location_2;dbg;231.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:30.181;132.64938354492188;2
linuxx86_64;gcc;optimized;259;branch;component_0;1000;86989774848.0;85598165401.6;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:50:06.052;111.8086166381836;2
linuxx86_64;gcc;optimized;399;branch;component_0;1000;120053587968.0;99675407974.4;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:50:06.954;21.995433807373047;0
linuxx86_64;gcc;release;8;branch;component_0;1000;107043631104.0;91101500211.2;36;location_1;rel;184.25;3;1;175;1;17;6;26;2025;2025-06-24 17:50:11.339;81.50259399414062;1
linuxx86_64;gcc;optimized_tsan;1;branch;component_0;500;119479873536.0;92120943001.6;36;location_3;opt;233.0;2;1;175;1;17;6;26;2025;2025-06-24 17:50:23.020;132.8243522644043;2
linuxaarch64;gcc;optimized;1;branch;component_0;500;110611636224.0;103246800486.4;36;location_2;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:51:26.834;36.8683967590332;0
linuxaarch64;gcc;optimized;1;branch;component_0;500;39587139584.0;82677990195.2;36;location_2;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:51:31.242;21.121238708496094;0
linuxx86_64;gcc;release;8;branch;component_0;1000;87512743936.0;63203024076.8;36;location_1;rel;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:53:25.551;75.23122024536133;1
